Family,CF,CG,HB,PA,PR,SH
Acanthametropodidae,,,,,1,
Acanthobdellidae,,,,1,,
Acroloxidae,,,1,,,
Aeshnidae,,,,,1,
Ameletidae,,1,1,,,1
Ametropodidae,1,1,,,,
Amphizoidae,,,,,1,
Ampullariidae,,,1,,,
Ancylidae,,,1,,,
Anisitsiellidae,,,,,1,
Apataniidae,1,,1,,,1
Argulidae,,,,1,,
Arrenuridae,,,,1,1,
Arthropleidae,1,1,,,,
Asellidae,,1,,,,
Athericidae,,,,,1,
Athienemanniidae,,,,,1,
Aturidae,,,,1,1,
Axonopsidae,,,,,1,
Baetidae,,1,1,,,
Baetiscidae,,1,1,,,
Balanidae,1,,,,,
Bdellodrilidae,,,1,,,
Behningiidae,,,,,1,
Belostomatidae,,,,,1,
Beraeidae,1,1,,,,1
Bithyniidae,1,,1,,,
Blephariceridae,,,1,,,
Brachycentridae,1,1,1,,,1
Branchiobdellidae,,1,1,,,
Caenestheriidae,1,,,,,
Caenidae,1,1,1,,,
Calamoceratidae,,,,,,1
Calopterygidae,,,,,1,
Cambaridae,1,1,,,,
Cambarincolidae,,,1,,,
Capniidae,,,1,,,1
Carabidae,,,,,1,
Ceratopogonidae,,1,,,1,
Chaoboridae,,,,,1,
Chappuisididae,,,,,1,
Chironomidae,,1,1,,1,1
Chloroperlidae,,1,,,1,
Chrysomelidae,,,,,,1
Cladocera,1,,,,,
Coenagrionidae,,,,,1,
Corbiculidae,1,,,,,
Cordulegastridae,,,,,1,
Corduliidae,,,,,1,
Corixidae,,1,1,,1,
Corophiidae,1,,,,,
Corydalidae,,,,,1,
Culicidae,1,1,,,,
Curculionidae,,,1,,,
Dolichopodidae,,,,,1,
Dytiscidae,,,,,1,
Ecnomidae,1,,,,,
Elmidae,,1,,,,
Empididae,,,,,1,
Ephemerellidae,,1,,,,
Ephydridae,,1,1,,1,1
Gerridae,,,,,1,
Glossiphoniidae,,,,1,1,
Glossosomatidae,1,1,1,,1,
Gomphidae,,,,,1,
Haliplidae,,,1,,,
Heptageniidae,,1,1,,1,
Hydridae,,,,,1,
Hydrobatidae,,,,,1,
Hydrobiidae,,,1,,,
Hydrobiosidae,,,,,1,
Hydrophilidae,,,1,,1,1
Hydropsychidae,1,1,,,1,1
Hydroptilidae,1,1,1,,,1
Hygrobatidae,,,,,1,
Ischnochitonidae,,,,,,
Leptoceridae,1,1,1,,1,1
Leptophlebiidae,,1,,,,
LESTIDAE,,,,,1,
Libellulidae,,,,,1,
Limnephilidae,,,1,,,1
Naididae,,1,,,1,
Naucoridae,,,,,1,
Nemouridae,,,,,,1
Notonectidae,,,,,1,
Perlidae,,,,,1,
Perlodidae,,,,,1,
Perlodidae  ,,,,,1,
Philopotamidae,1,,,,,
Phryganeidae,,,,,,1
Polycentropodidae,,,,,1,
Potamanthidae,1,1,,,,
Ptilodactylidae,,,,,,1
Ptychopteridae,,1,,,,
Pyralidae,,,,,,1
Sericostomatidae,,,,,,1
Simuliidae,1,,,,,
Sisyridae,,,,,1,
Stratiomyidae,,1,,,,
Syrphidae,,1,,,,
Tabanidae,,1,,,1,
Taeniopterygidae,,,1,,,
Tipulidae,,1,,,,1
Tubificidae,,1,1,,,
Unionidae,1,,,,,
Viviparidae,,,1,,,