sample_ID,t_temp,t_DO_p,t_DO,t_SpCond,t_TDS,t_SAL,t_pH,b_temp,b_DO_p,b_DO,b_SpCond,b_TDS,b_SAL,b_pH,s_temp,s_pH,b_CaCO3 ,t_CaCO3 ,b_Ammonia_N,t_Ammonia_N,b_Calcium,t_Calcium,b_Chloride,t_Chloride,b_Fluoride,t_Fluoride,b_Magnesium,t_Magnesium,b_Nitrate_Nitrite_N,t_Nitrate_Nitrite_N,b_Nitrogen_Total,t_Nitrogen_Total,b_Nitrogen_Total_Dissolved,t_Nitrogen_Total_Dissolved,b_Phosphorus_SRP,t_Phosphorus_SRP,b_Phosphorus_Total,t_Phosphorus_Total,b_Potassium,t_Potassium,b_Silica,t_Silica,b_Sodium,t_Sodium,b_Sulfate,t_Sulfate
TorontoHarbour_1012_1_InnerHarbourWest,17,94.2,9.07,309.5,0.2,0.15,8.41,14.7,98.6,9.89,310.8,0.2,0.15,8.29,16.2,7.17,93.2,92.7,0.038,0.039,34.4,34.3,24.3,24.2,0.11,0.11,9.05,8.99,0.227,0.226,0.223,0.206,0.256,0.231,0.0033,0.0029,0.0117,0.011,1.7,1.68,0.51,0.49,14.8,14.7,23.8,23.8
TorontoHarbour_1012_2_InnerHarbourWest,17,94.2,9.07,309.5,0.2,0.15,8.41,14.7,98.6,9.89,310.8,0.2,0.15,8.29,16.2,7.17,93.2,92.7,0.038,0.039,34.4,34.3,24.3,24.2,0.11,0.11,9.05,8.99,0.227,0.226,0.223,0.206,0.256,0.231,0.0033,0.0029,0.0117,0.011,1.7,1.68,0.51,0.49,14.8,14.7,23.8,23.8
TorontoHarbour_1012_3_InnerHarbourWest,17,94.2,9.07,309.5,0.2,0.15,8.41,14.7,98.6,9.89,310.8,0.2,0.15,8.29,16.2,7.17,93.2,92.7,0.038,0.039,34.4,34.3,24.3,24.2,0.11,0.11,9.05,8.99,0.227,0.226,0.223,0.206,0.256,0.231,0.0033,0.0029,0.0117,0.011,1.7,1.68,0.51,0.49,14.8,14.7,23.8,23.8
TorontoHarbour_1346_1_BathurstQuay,16.7,92.4,8.94,316.3,0.21,0.15,8.16,16.8,93,9.03,315.2,0.2,0.15,8.13,17.1,6.51,92.2,91.9,0.062,0.062,34,33.9,26.9,27,0.11,0.11,8.81,8.77,0.243,0.244,0.256,0.272,0.264,0.431,0.0089,0.0093,0.022,0.0221,1.81,1.81,0.64,0.65,16.5,16.5,23.5,23.5
TorontoHarbour_1346_2_BathurstQuay,16.7,92.4,8.94,316.3,0.21,0.15,8.16,16.8,93,9.03,315.2,0.2,0.15,8.13,17.1,6.51,92.2,91.9,0.062,0.062,34,33.9,26.9,27,0.11,0.11,8.81,8.77,0.243,0.244,0.256,0.272,0.264,0.431,0.0089,0.0093,0.022,0.0221,1.81,1.81,0.64,0.65,16.5,16.5,23.5,23.5
TorontoHarbour_1346_3_BathurstQuay,16.7,92.4,8.94,316.3,0.21,0.15,8.16,16.8,93,9.03,315.2,0.2,0.15,8.13,17.1,6.51,92.2,91.9,0.062,0.062,34,33.9,26.9,27,0.11,0.11,8.81,8.77,0.243,0.244,0.256,0.272,0.264,0.431,0.0089,0.0093,0.022,0.0221,1.81,1.81,0.64,0.65,16.5,16.5,23.5,23.5
TorontoHarbour_1349_1_InnerHarbourWest,17.3,91.6,8.77,316.4,0.21,0.15,8.14,17.1,92.6,8.93,312.1,0.2,0.15,8.14,17,7.07,93,93.4,0.046,0.047,34.3,34.6,25.5,26.1,0.11,0.11,8.96,9.06,0.242,0.244,0.242,0.279,0.268,0.277,0.006,0.0069,0.0154,0.0165,1.72,1.75,0.61,0.69,15.4,15.9,23.9,24
TorontoHarbour_1349_2_InnerHarbourWest,17.3,91.6,8.77,316.4,0.21,0.15,8.14,17.1,92.6,8.93,312.1,0.2,0.15,8.14,17,7.07,93,93.4,0.046,0.047,34.3,34.6,25.5,26.1,0.11,0.11,8.96,9.06,0.242,0.244,0.242,0.279,0.268,0.277,0.006,0.0069,0.0154,0.0165,1.72,1.75,0.61,0.69,15.4,15.9,23.9,24
TorontoHarbour_1349_3_InnerHarbourWest,17.3,91.6,8.77,316.4,0.21,0.15,8.14,17.1,92.6,8.93,312.1,0.2,0.15,8.14,17,7.07,93,93.4,0.046,0.047,34.3,34.6,25.5,26.1,0.11,0.11,8.96,9.06,0.242,0.244,0.242,0.279,0.268,0.277,0.006,0.0069,0.0154,0.0165,1.72,1.75,0.61,0.69,15.4,15.9,23.9,24
TorontoHarbour_1355_1_InnerHarbourWest,17.5,91.6,8.76,317,0.21,0.15,8.15,17.1,93.3,8.98,313,0.2,0.15,8.15,16.5,7.17,92.8,93.6,0.049,0.048,34.6,34.7,25.5,26.2,0.11,0.11,9.09,9.08,0.238,0.247,0.235,0.245,0.243,0.242,0.0079,0.0069,0.016,0.0181,1.75,1.75,0.66,0.71,15.6,16,23.9,24
TorontoHarbour_1355_2_InnerHarbourWest,17.5,91.6,8.76,317,0.21,0.15,8.15,17.1,93.3,8.98,313,0.2,0.15,8.15,16.5,7.17,92.8,93.6,0.049,0.048,34.6,34.7,25.5,26.2,0.11,0.11,9.09,9.08,0.238,0.247,0.235,0.245,0.243,0.242,0.0079,0.0069,0.016,0.0181,1.75,1.75,0.66,0.71,15.6,16,23.9,24
TorontoHarbour_1355_3_InnerHarbourWest,17.5,91.6,8.76,317,0.21,0.15,8.15,17.1,93.3,8.98,313,0.2,0.15,8.15,16.5,7.17,92.8,93.6,0.049,0.048,34.6,34.7,25.5,26.2,0.11,0.11,9.09,9.08,0.238,0.247,0.235,0.245,0.243,0.242,0.0079,0.0069,0.016,0.0181,1.75,1.75,0.66,0.71,15.6,16,23.9,24
TorontoHarbour_1358_1_InnerHarbourWest,17.4,91.6,8.76,317.9,0.21,0.15,8.13,17,92.2,8.91,313.7,0.2,0.15,8.13,17.5,7.1,93.2,92.9,0.04,0.039,34.4,34.4,25.3,25.3,0.11,0.11,9.08,9.08,0.242,0.241,0.266,0.232,0.212,0.229,0.0053,0.0049,0.015,0.0167,1.73,1.73,0.59,0.59,15.4,15.3,24,24
TorontoHarbour_1358_2_InnerHarbourWest,17.4,91.6,8.76,317.9,0.21,0.15,8.13,17,92.2,8.91,313.7,0.2,0.15,8.13,17.5,7.1,93.2,92.9,0.04,0.039,34.4,34.4,25.3,25.3,0.11,0.11,9.08,9.08,0.242,0.241,0.266,0.232,0.212,0.229,0.0053,0.0049,0.015,0.0167,1.73,1.73,0.59,0.59,15.4,15.3,24,24
TorontoHarbour_1358_3_InnerHarbourWest,17.4,91.6,8.76,317.9,0.21,0.15,8.13,17,92.2,8.91,313.7,0.2,0.15,8.13,17.5,7.1,93.2,92.9,0.04,0.039,34.4,34.4,25.3,25.3,0.11,0.11,9.08,9.08,0.242,0.241,0.266,0.232,0.212,0.229,0.0053,0.0049,0.015,0.0167,1.73,1.73,0.59,0.59,15.4,15.3,24,24
TorontoHarbour_1359_1_InnerHarbourWest,16.8,91.9,8.9,325.7,0.21,0.16,8.11,16.7,93.4,9.08,325.1,0.21,0.16,8.11,16.5,7.22,92.1,92.2,0.055,0.057,35.2,35.3,28.3,28.4,0.11,0.11,9.14,9.14,0.266,0.269,0.246,0.275,0.237,0.232,0.008,0.0081,0.017,0.0165,1.77,1.78,0.75,0.75,17,17.1,24.3,24.4
TorontoHarbour_1359_2_InnerHarbourWest,16.8,91.9,8.9,325.7,0.21,0.16,8.11,16.7,93.4,9.08,325.1,0.21,0.16,8.11,16.5,7.22,92.1,92.2,0.055,0.057,35.2,35.3,28.3,28.4,0.11,0.11,9.14,9.14,0.266,0.269,0.246,0.275,0.237,0.232,0.008,0.0081,0.017,0.0165,1.77,1.78,0.75,0.75,17,17.1,24.3,24.4
TorontoHarbour_1359_3_InnerHarbourWest,16.8,91.9,8.9,325.7,0.21,0.16,8.11,16.7,93.4,9.08,325.1,0.21,0.16,8.11,16.5,7.22,92.1,92.2,0.055,0.057,35.2,35.3,28.3,28.4,0.11,0.11,9.14,9.14,0.266,0.269,0.246,0.275,0.237,0.232,0.008,0.0081,0.017,0.0165,1.77,1.78,0.75,0.75,17,17.1,24.3,24.4
TorontoHarbour_1362_1_InnerHarbourCentre,17.4,91.6,8.76,317.9,0.21,0.15,8.13,17,92.2,8.91,313.7,0.2,0.15,8.13,17.5,7.1,92.4,92.9,0.054,0.052,34.6,34.8,25.6,26.5,0.11,0.11,9.08,9.12,0.239,0.247,0.239,0.275,0.251,0.236,0.0083,0.008,0.0162,0.0185,1.75,1.77,0.68,0.73,15.8,16.1,23.9,24
TorontoHarbour_1362_2_InnerHarbourCentre,17.4,91.6,8.76,317.9,0.21,0.15,8.13,17,92.2,8.91,313.7,0.2,0.15,8.13,17.5,7.1,92.4,92.9,0.054,0.052,34.6,34.8,25.6,26.5,0.11,0.11,9.08,9.12,0.239,0.247,0.239,0.275,0.251,0.236,0.0083,0.008,0.0162,0.0185,1.75,1.77,0.68,0.73,15.8,16.1,23.9,24
TorontoHarbour_1362_3_InnerHarbourCentre,17.4,91.6,8.76,317.9,0.21,0.15,8.13,17,92.2,8.91,313.7,0.2,0.15,8.13,17.5,7.1,92.4,92.9,0.054,0.052,34.6,34.8,25.6,26.5,0.11,0.11,9.08,9.12,0.239,0.247,0.239,0.275,0.251,0.236,0.0083,0.008,0.0162,0.0185,1.75,1.77,0.68,0.73,15.8,16.1,23.9,24
TorontoHarbour_1363_1_InnerHarbourCentre,17.2,94.1,9.05,310.6,0.2,0.15,8.2,16.9,93.2,9.01,321.1,0.21,0.15,8.14,16.9,7.32,92.2,91.4,0.056,0.039,35.2,34.8,27.7,25,0.11,0.11,9.15,9.09,0.254,0.213,0.25,0.224,0.226,0.22,0.0094,0.0041,0.0152,0.0151,1.77,1.71,0.8,0.59,16.9,15.3,24.1,23.9
TorontoHarbour_1363_2_InnerHarbourCentre,17.2,94.1,9.05,310.6,0.2,0.15,8.2,16.9,93.2,9.01,321.1,0.21,0.15,8.14,16.9,7.32,92.2,91.4,0.056,0.039,35.2,34.8,27.7,25,0.11,0.11,9.15,9.09,0.254,0.213,0.25,0.224,0.226,0.22,0.0094,0.0041,0.0152,0.0151,1.77,1.71,0.8,0.59,16.9,15.3,24.1,23.9
TorontoHarbour_1363_3_InnerHarbourCentre,17.2,94.1,9.05,310.6,0.2,0.15,8.2,16.9,93.2,9.01,321.1,0.21,0.15,8.14,16.9,7.32,92.2,91.4,0.056,0.039,35.2,34.8,27.7,25,0.11,0.11,9.15,9.09,0.254,0.213,0.25,0.224,0.226,0.22,0.0094,0.0041,0.0152,0.0151,1.77,1.71,0.8,0.59,16.9,15.3,24.1,23.9
TorontoHarbour_1364_1_InnerHarbourCentre,17,93.8,9.06,314.6,0.2,0.15,8.2,16.9,93.9,9.08,320.2,0.21,0.15,8.15,16.9,7.46,92.1,91.8,0.053,0.043,35,34.9,27.3,25.8,0.11,0.11,9.1,9.11,0.252,0.226,0.234,0.257,0.246,0.224,0.0089,0.0052,0.0168,0.0158,1.76,1.74,0.77,0.64,16.6,15.7,24.2,24
TorontoHarbour_1364_2_InnerHarbourCentre,17,93.8,9.06,314.6,0.2,0.15,8.2,16.9,93.9,9.08,320.2,0.21,0.15,8.15,16.9,7.46,92.1,91.8,0.053,0.043,35,34.9,27.3,25.8,0.11,0.11,9.1,9.11,0.252,0.226,0.234,0.257,0.246,0.224,0.0089,0.0052,0.0168,0.0158,1.76,1.74,0.77,0.64,16.6,15.7,24.2,24
TorontoHarbour_1364_3_InnerHarbourCentre,17,93.8,9.06,314.6,0.2,0.15,8.2,16.9,93.9,9.08,320.2,0.21,0.15,8.15,16.9,7.46,92.1,91.8,0.053,0.043,35,34.9,27.3,25.8,0.11,0.11,9.1,9.11,0.252,0.226,0.234,0.257,0.246,0.224,0.0089,0.0052,0.0168,0.0158,1.76,1.74,0.77,0.64,16.6,15.7,24.2,24
TorontoHarbour_1365_1_InnerHarbourCentre,17,92.3,8.91,314.6,0.2,0.15,8.13,16.9,93.6,9.07,314.5,0.2,0.15,8.14,16.9,7.27,91.6,91.5,0.048,0.049,34.9,34.9,25.9,25.9,0.11,0.11,9.12,9.1,0.239,0.239,0.253,0.264,0.243,0.239,0.0075,0.0078,0.0156,0.0158,1.74,1.74,0.7,0.7,15.8,15.7,24.1,24.1
TorontoHarbour_1365_2_InnerHarbourCentre,17,92.3,8.91,314.6,0.2,0.15,8.13,16.9,93.6,9.07,314.5,0.2,0.15,8.14,16.9,7.27,91.6,91.5,0.048,0.049,34.9,34.9,25.9,25.9,0.11,0.11,9.12,9.1,0.239,0.239,0.253,0.264,0.243,0.239,0.0075,0.0078,0.0156,0.0158,1.74,1.74,0.7,0.7,15.8,15.7,24.1,24.1
TorontoHarbour_1365_3_InnerHarbourCentre,17,92.3,8.91,314.6,0.2,0.15,8.13,16.9,93.6,9.07,314.5,0.2,0.15,8.14,16.9,7.27,91.6,91.5,0.048,0.049,34.9,34.9,25.9,25.9,0.11,0.11,9.12,9.1,0.239,0.239,0.253,0.264,0.243,0.239,0.0075,0.0078,0.0156,0.0158,1.74,1.74,0.7,0.7,15.8,15.7,24.1,24.1
TorontoHarbour_1366_1_InnerHarbourCentre,16.9,91.8,8.89,319.3,0.21,0.15,8.14,16.7,92.6,8.99,320.5,0.21,0.15,8.12,17,7.37,91.8,91.7,0.051,0.048,35.1,35,27.4,27,0.11,0.11,9.13,9.07,0.255,0.255,0.271,0.252,0.243,0.243,0.0084,0.0075,0.0168,0.0143,1.77,1.75,0.74,0.71,16.7,16.3,24.1,24.1
TorontoHarbour_1366_2_InnerHarbourCentre,16.9,91.8,8.89,319.3,0.21,0.15,8.14,16.7,92.6,8.99,320.5,0.21,0.15,8.12,17,7.37,91.8,91.7,0.051,0.048,35.1,35,27.4,27,0.11,0.11,9.13,9.07,0.255,0.255,0.271,0.252,0.243,0.243,0.0084,0.0075,0.0168,0.0143,1.77,1.75,0.74,0.71,16.7,16.3,24.1,24.1
TorontoHarbour_1366_3_InnerHarbourCentre,16.9,91.8,8.89,319.3,0.21,0.15,8.14,16.7,92.6,8.99,320.5,0.21,0.15,8.12,17,7.37,91.8,91.7,0.051,0.048,35.1,35,27.4,27,0.11,0.11,9.13,9.07,0.255,0.255,0.271,0.252,0.243,0.243,0.0084,0.0075,0.0168,0.0143,1.77,1.75,0.74,0.71,16.7,16.3,24.1,24.1
TorontoHarbour_1370_1_QueenElizabethDocks,16.8,91.5,8.88,317.4,0.21,0.15,8.13,16,90.1,8.88,336.2,0.22,0.16,8.01,15.6,7.17,92.5,90.9,0.07,0.049,36,35.1,31.5,26.5,0.11,0.11,9.01,9.12,0.307,0.252,0.234,0.225,0.257,0.231,0.0108,0.0075,0.0192,0.0174,1.79,1.75,1.08,0.74,19.2,16.2,23.9,23.8
TorontoHarbour_1370_2_QueenElizabethDocks,16.8,91.5,8.88,317.4,0.21,0.15,8.13,16,90.1,8.88,336.2,0.22,0.16,8.01,15.6,7.17,92.5,90.9,0.07,0.049,36,35.1,31.5,26.5,0.11,0.11,9.01,9.12,0.307,0.252,0.234,0.225,0.257,0.231,0.0108,0.0075,0.0192,0.0174,1.79,1.75,1.08,0.74,19.2,16.2,23.9,23.8
TorontoHarbour_1370_3_QueenElizabethDocks,16.8,91.5,8.88,317.4,0.21,0.15,8.13,16,90.1,8.88,336.2,0.22,0.16,8.01,15.6,7.17,92.5,90.9,0.07,0.049,36,35.1,31.5,26.5,0.11,0.11,9.01,9.12,0.307,0.252,0.234,0.225,0.257,0.231,0.0108,0.0075,0.0192,0.0174,1.79,1.75,1.08,0.74,19.2,16.2,23.9,23.8
